skills,experience,interest,education,work_type,communication,target_role,job_link
"Flutter, Dart",4.0,Mobile,Graduate,Remote,6.0,Mobile Developer,https://www.dewii.in/android-developer
"Linux Admin, Bash Scripting",5.0,DevOps,Graduate,Onsite,5.0,System Administrator,https://zelis.wd1.myworkdayjobs.com/en-US/ZelisCareers/job/India-Hyderabad/Salesforce-Administrator_JR108049
"SQL Server, SSIS",4.0,Data,Graduate,Hybrid,7.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SQL, Oracle",5.0,Data,Post Graduate,Onsite,6.0,Database Administrator,https://careers.united.com/us/en/job/GGN00001993/Database-Administrator-II-Information-Technology?src=JB-10440
"SwiftUI, iOS Dev",3.0,Mobile,Graduate,Remote,7.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"Google Ads, Analytics",5.0,Marketing,Graduate,Hybrid,6.0,Marketing Analyst,https://www.position2.com/career/junior-marketing-automation-analyst/
"Excel, VBA",7.0,Data,Graduate,Hybrid,8.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SQL, Oracle",6.0,Data,Post Graduate,Onsite,5.0,Database Administrator,https://careers.united.com/us/en/job/GGN00001993/Database-Administrator-II-Information-Technology?src=JB-10440
"SQL, Oracle",5.0,Data,Post Graduate,Onsite,6.0,Database Administrator,https://careers.united.com/us/en/job/GGN00001993/Database-Administrator-II-Information-Technology?src=JB-10440
"C++, Embedded Systems",6.0,Hardware,Post Graduate,Onsite,4.0,Firmware Engineer,https://careers.synopsys.com/job/-/-/44408/77911761744?Indeed_org
"Cybersecurity, Ethical Hacking",3.0,Security,Graduate,Onsite,6.0,Security Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Kotlin, Android Studio",3.0,Mobile,Graduate,Remote,7.0,Android Developer,https://www.dewii.in/android-developer
"Machine Learning, R",4.0,AI,Post Graduate,Remote,7.0,Data Scientist,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Leadership, Agile, Scrum",7.0,Management,Post Graduate,Onsite,9.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Flutter, Dart",2.0,Mobile,Graduate,Remote,7.0,Mobile Developer,https://www.dewii.in/android-developer
"Business Analysis, UML",6.0,Management,Post Graduate,Onsite,9.0,Business Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"SQL Server, SSIS",2.0,Data,Graduate,Hybrid,7.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SQL Server, SSIS",2.0,Data,Graduate,Hybrid,7.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Go, Microservices",5.0,Backend,Graduate,Onsite,4.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Go, Microservices",6.0,Backend,Graduate,Onsite,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"JavaScript, Vue.js",1.0,Frontend,Graduate,Remote,7.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"AWS, CloudFormation",4.0,Cloud,Post Graduate,Hybrid,6.0,Cloud Engineer,https://www.google.com/about/careers/applications/jobs/results/142499060689838790-cloud-engineer/?src=online
"Linux Admin, Bash Scripting",5.0,DevOps,Graduate,Onsite,6.0,System Administrator,https://zelis.wd1.myworkdayjobs.com/en-US/ZelisCareers/job/India-Hyderabad/Salesforce-Administrator_JR108049
"Social Media, Branding",5.0,Marketing,Graduate,Remote,8.0,Brand Manager,https://www.amazon.jobs/en/jobs/2948380/sbs-assistant-brand-manager-india-consumables
"C++, Embedded Systems",6.0,Hardware,Post Graduate,Onsite,4.0,Firmware Engineer,https://careers.synopsys.com/job/-/-/44408/77911761744?Indeed_org
"Swift, iOS Development",4.0,Mobile,Post Graduate,Onsite,7.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"Photoshop, Figma",3.0,Design,Graduate,Remote,8.0,UI/UX Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Node.js, Express, MongoDB",3.0,Backend,Graduate,Hybrid,7.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Python, Flask, REST API",4.0,Backend,Graduate,Remote,7.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Python, SQL, Pandas",1.0,Data,Graduate,Remote,6.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Linux, Networking, Security",6.0,DevOps,Graduate,Onsite,5.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
"Linux Admin, Bash Scripting",4.0,DevOps,Graduate,Onsite,6.0,System Administrator,https://zelis.wd1.myworkdayjobs.com/en-US/ZelisCareers/job/India-Hyderabad/Salesforce-Administrator_JR108049
"Cloud Security, IAM",5.0,Security,Graduate,Onsite,8.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Photoshop, Figma",3.0,Design,Graduate,Remote,6.0,UI/UX Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Python, SQL, Pandas",2.0,Data,Graduate,Remote,5.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Excel, VBA",5.0,Data,Graduate,Hybrid,8.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Cybersecurity, Ethical Hacking",5.0,Security,Graduate,Onsite,8.0,Security Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"TensorFlow, PyTorch",4.0,AI,Post Graduate,Remote,7.0,AI Researcher,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Cybersecurity, Ethical Hacking",3.0,Security,Graduate,Onsite,7.0,Security Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"React, JavaScript, UI",3.0,Frontend,Graduate,Remote,7.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
Marketing Automation,4.0,Marketing,Graduate,Remote,7.0,Marketing Specialist,https://www.position2.com/career/junior-marketing-automation-analyst/
"Public Speaking, Leadership",8.0,Management,Post Graduate,Onsite,9.0,Team Lead,https://aristocrat.wd3.myworkdayjobs.com/AristocratExternalCareersSite/job/Noida-UP-IN/Technical-Lead_R0018902-1
"SQL, Tableau",4.0,Analytics,Graduate,Hybrid,7.0,BI Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Python, Flask, REST API",4.0,Backend,Graduate,Remote,7.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Scala, Spark",5.0,Data,Post Graduate,Hybrid,7.0,Big Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Cloud Security, IAM",3.0,Security,Graduate,Onsite,8.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"SQL, Oracle",7.0,Data,Post Graduate,Onsite,6.0,Database Administrator,https://careers.united.com/us/en/job/GGN00001993/Database-Administrator-II-Information-Technology?src=JB-10440
"Kotlin, Android Studio",2.0,Mobile,Graduate,Remote,7.0,Android Developer,https://www.dewii.in/android-developer
"Linux Admin, Bash Scripting",6.0,DevOps,Graduate,Onsite,6.0,System Administrator,https://zelis.wd1.myworkdayjobs.com/en-US/ZelisCareers/job/India-Hyderabad/Salesforce-Administrator_JR108049
"SQL Server, SSIS",4.0,Data,Graduate,Hybrid,5.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Swift, iOS Development",3.0,Mobile,Post Graduate,Onsite,6.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"Google Ads, Analytics",4.0,Marketing,Graduate,Hybrid,7.0,Marketing Analyst,https://www.position2.com/career/junior-marketing-automation-analyst/
"Salesforce, CRM",4.0,Sales,Graduate,Hybrid,9.0,Salesforce Admin,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Go, Microservices",5.0,Backend,Graduate,Onsite,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Linux Admin, Bash Scripting",6.0,DevOps,Graduate,Onsite,7.0,System Administrator,https://zelis.wd1.myworkdayjobs.com/en-US/ZelisCareers/job/India-Hyderabad/Salesforce-Administrator_JR108049
"SQL Server, SSIS",4.0,Data,Graduate,Hybrid,5.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SwiftUI, iOS Dev",3.0,Mobile,Graduate,Remote,6.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"React Native, Mobile Dev",3.0,Mobile,Graduate,Remote,8.0,Mobile Developer,https://www.dewii.in/android-developer
"Communication, Negotiation",4.0,Sales,Graduate,Onsite,10.0,Sales Manager,https://danguradigital.com/career/sales-and-marketing-executive-june/
"C++, Embedded Systems",5.0,Hardware,Post Graduate,Onsite,6.0,Firmware Engineer,https://careers.synopsys.com/job/-/-/44408/77911761744?Indeed_org
"C++, Embedded Systems",6.0,Hardware,Post Graduate,Onsite,4.0,Firmware Engineer,https://careers.synopsys.com/job/-/-/44408/77911761744?Indeed_org
"SQL, Oracle",5.0,Data,Post Graduate,Onsite,5.0,Database Administrator,https://careers.united.com/us/en/job/GGN00001993/Database-Administrator-II-Information-Technology?src=JB-10440
"Python, NLP, Spacy",4.0,AI,Post Graduate,Remote,7.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Communication, Negotiation",6.0,Sales,Graduate,Onsite,8.0,Sales Manager,https://danguradigital.com/career/sales-and-marketing-executive-june/
"AWS, CloudFormation",4.0,Cloud,Post Graduate,Hybrid,8.0,Cloud Engineer,https://www.google.com/about/careers/applications/jobs/results/142499060689838790-cloud-engineer/?src=online
"Machine Learning, R",5.0,AI,Post Graduate,Remote,7.0,Data Scientist,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Python, NLP, Spacy",4.0,AI,Post Graduate,Remote,7.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Social Media, Branding",4.0,Marketing,Graduate,Remote,8.0,Brand Manager,https://www.amazon.jobs/en/jobs/2948380/sbs-assistant-brand-manager-india-consumables
"Linux Admin, Bash Scripting",4.0,DevOps,Graduate,Onsite,7.0,System Administrator,https://zelis.wd1.myworkdayjobs.com/en-US/ZelisCareers/job/India-Hyderabad/Salesforce-Administrator_JR108049
"Flutter, Dart",2.0,Mobile,Graduate,Remote,6.0,Mobile Developer,https://www.dewii.in/android-developer
"Linux Admin, Bash Scripting",6.0,DevOps,Graduate,Onsite,7.0,System Administrator,https://zelis.wd1.myworkdayjobs.com/en-US/ZelisCareers/job/India-Hyderabad/Salesforce-Administrator_JR108049
"SQL Server, SSIS",4.0,Data,Graduate,Hybrid,6.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Docker, Kubernetes",4.0,DevOps,Graduate,Remote,5.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
"Leadership, Agile, Scrum",6.0,Management,Post Graduate,Onsite,9.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"SQL, Tableau",4.0,Analytics,Graduate,Hybrid,6.0,BI Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Google Cloud, BigQuery",4.0,Cloud,Graduate,Hybrid,7.0,Cloud Engineer,https://www.google.com/about/careers/applications/jobs/results/142499060689838790-cloud-engineer/?src=online
"Photoshop, Figma",3.0,Design,Graduate,Remote,8.0,UI/UX Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"TensorFlow, PyTorch",4.0,AI,Post Graduate,Remote,6.0,AI Researcher,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Python, SQL, Pandas",1.0,Data,Graduate,Remote,5.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Communication, CRM",5.0,Sales,Graduate,Onsite,10.0,Sales Executive,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Project Management, JIRA",8.0,Management,Post Graduate,Onsite,9.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Photoshop, Illustrator",2.0,Design,Graduate,Remote,8.0,Graphic Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Swift, iOS Development",4.0,Mobile,Post Graduate,Onsite,8.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"Go, Microservices",4.0,Backend,Graduate,Onsite,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Google Ads, Analytics",3.0,Marketing,Graduate,Hybrid,8.0,Marketing Analyst,https://www.position2.com/career/junior-marketing-automation-analyst/
"Python, Data Engineering",5.0,Data,Post Graduate,Hybrid,6.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Machine Learning, R",5.0,AI,Post Graduate,Remote,7.0,Data Scientist,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Photoshop, Figma",3.0,Design,Graduate,Remote,7.0,UI/UX Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"SQL, Tableau",4.0,Analytics,Graduate,Hybrid,6.0,BI Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Business Analysis, UML",5.0,Management,Post Graduate,Onsite,8.0,Business Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"SQL, Tableau",4.0,Analytics,Graduate,Hybrid,6.0,BI Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Leadership, Agile, Scrum",8.0,Management,Post Graduate,Onsite,7.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Google Ads, Analytics",5.0,Marketing,Graduate,Hybrid,8.0,Marketing Analyst,https://www.position2.com/career/junior-marketing-automation-analyst/
"Cloud Security, IAM",3.0,Security,Graduate,Onsite,6.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Python, Django, REST",4.0,Backend,Graduate,Hybrid,8.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"React, JavaScript, UI",3.0,Frontend,Graduate,Remote,6.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Python, NLP, Spacy",3.0,AI,Post Graduate,Remote,7.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Java, Spring Boot",4.0,Backend,Post Graduate,Onsite,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"PHP, WordPress",2.0,Web,Graduate,Remote,7.0,Web Developer,https://5d.solutions/careers/jobopenings/1204_full_stack_web_developer/
"Unity, C#",3.0,Game Dev,Graduate,Onsite,6.0,Game Developer,https://www.desirousgc.com/job/171
"Leadership, Agile, Scrum",8.0,Management,Post Graduate,Onsite,7.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Python, ML, TensorFlow",1.0,AI,Post Graduate,Remote,7.0,AI/ML Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Python, ML, TensorFlow",2.0,AI,Post Graduate,Remote,7.0,AI/ML Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Python, SQL, Pandas",2.0,Data,Graduate,Remote,7.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SQL, Oracle",6.0,Data,Post Graduate,Onsite,6.0,Database Administrator,https://careers.united.com/us/en/job/GGN00001993/Database-Administrator-II-Information-Technology?src=JB-10440
"Machine Learning, R",3.0,AI,Post Graduate,Remote,6.0,Data Scientist,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Google Cloud, BigQuery",4.0,Cloud,Graduate,Hybrid,8.0,Cloud Engineer,https://www.google.com/about/careers/applications/jobs/results/142499060689838790-cloud-engineer/?src=online
"Node.js, Express, MongoDB",3.0,Backend,Graduate,Hybrid,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Leadership, Agile, Scrum",6.0,Management,Post Graduate,Onsite,7.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Leadership, Agile, Scrum",8.0,Management,Post Graduate,Onsite,8.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Business Analysis, UML",5.0,Management,Post Graduate,Onsite,8.0,Business Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Go, Microservices",5.0,Backend,Graduate,Onsite,4.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"C++, Embedded Systems",4.0,Hardware,Post Graduate,Onsite,4.0,Firmware Engineer,https://careers.synopsys.com/job/-/-/44408/77911761744?Indeed_org
"SQL, Oracle",5.0,Data,Post Graduate,Onsite,6.0,Database Administrator,https://careers.united.com/us/en/job/GGN00001993/Database-Administrator-II-Information-Technology?src=JB-10440
"PHP, WordPress",3.0,Web,Graduate,Remote,8.0,Web Developer,https://5d.solutions/careers/jobopenings/1204_full_stack_web_developer/
"Scala, Spark",4.0,Data,Post Graduate,Hybrid,7.0,Big Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Communication, Negotiation",4.0,Sales,Graduate,Onsite,10.0,Sales Manager,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Cloud Security, IAM",3.0,Security,Graduate,Onsite,6.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"SQL Server, SSIS",3.0,Data,Graduate,Hybrid,7.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Python, ML, TensorFlow",1.0,AI,Post Graduate,Remote,6.0,AI/ML Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"SEO, Content Marketing",4.0,Marketing,Graduate,Remote,9.0,Digital Marketer,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Photoshop, Illustrator",3.0,Design,Graduate,Remote,8.0,Graphic Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"SEO, Content Marketing",6.0,Marketing,Graduate,Remote,10.0,Digital Marketer,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Python, NLP, Spacy",4.0,AI,Post Graduate,Remote,7.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Linux, Networking, Security",6.0,DevOps,Graduate,Onsite,5.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
Marketing Automation,3.0,Marketing,Graduate,Remote,7.0,Marketing Specialist,https://www.position2.com/career/junior-marketing-automation-analyst/
"Adobe XD, Prototyping",3.0,Design,Graduate,Remote,8.0,UI Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"HTML, CSS, JavaScript",0.0,Web,Graduate,Remote,7.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Cloud Security, IAM",5.0,Security,Graduate,Onsite,6.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Python, ML, TensorFlow",1.0,AI,Post Graduate,Remote,6.0,AI/ML Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"SwiftUI, iOS Dev",3.0,Mobile,Graduate,Remote,6.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"Google Ads, Analytics",3.0,Marketing,Graduate,Hybrid,6.0,Marketing Analyst,https://www.position2.com/career/junior-marketing-automation-analyst/
"Cloud Security, IAM",5.0,Security,Graduate,Onsite,7.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Python, NLP, Spacy",5.0,AI,Post Graduate,Remote,7.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"UX Research, Wireframing",3.0,Design,Graduate,Remote,9.0,UX Researcher,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"AWS, CloudFormation",5.0,Cloud,Post Graduate,Hybrid,6.0,Cloud Engineer,https://www.google.com/about/careers/applications/jobs/results/142499060689838790-cloud-engineer/?src=online
"Ruby on Rails, PostgreSQL",4.0,Backend,Graduate,Remote,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Python, Flask, REST API",3.0,Backend,Graduate,Remote,7.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"AutoCAD, SolidWorks",5.0,Design,Graduate,Onsite,7.0,Mechanical Designer,https://www.desirousgc.com/job/350
"Communication, CRM",6.0,Sales,Graduate,Onsite,9.0,Sales Executive,https://danguradigital.com/career/sales-and-marketing-executive-june/
Marketing Automation,5.0,Marketing,Graduate,Remote,6.0,Marketing Specialist,https://www.position2.com/career/junior-marketing-automation-analyst/
"Photoshop, Illustrator",4.0,Design,Graduate,Remote,9.0,Graphic Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Unity, C#",3.0,Game Dev,Graduate,Onsite,8.0,Game Developer,https://www.desirousgc.com/job/171
"Salesforce, CRM",5.0,Sales,Graduate,Hybrid,7.0,Salesforce Admin,https://danguradigital.com/career/sales-and-marketing-executive-june/
Marketing Automation,5.0,Marketing,Graduate,Remote,7.0,Marketing Specialist,https://www.position2.com/career/junior-marketing-automation-analyst/
"Python, SQL, Pandas",2.0,Data,Graduate,Remote,6.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Communication, Negotiation",6.0,Sales,Graduate,Onsite,9.0,Sales Manager,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Leadership, Agile, Scrum",6.0,Management,Post Graduate,Onsite,8.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Communication, Negotiation",5.0,Sales,Graduate,Onsite,10.0,Sales Manager,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Leadership, Agile, Scrum",7.0,Management,Post Graduate,Onsite,7.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Cloud Security, IAM",3.0,Security,Graduate,Onsite,7.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
Marketing Automation,4.0,Marketing,Graduate,Remote,6.0,Marketing Specialist,https://www.position2.com/career/junior-marketing-automation-analyst/
"SQL, Oracle",5.0,Data,Post Graduate,Onsite,7.0,Database Administrator,https://careers.united.com/us/en/job/GGN00001993/Database-Administrator-II-Information-Technology?src=JB-10440
Marketing Automation,4.0,Marketing,Graduate,Remote,6.0,Marketing Specialist,https://www.position2.com/career/junior-marketing-automation-analyst/
"Flutter, Dart",2.0,Mobile,Graduate,Remote,6.0,Mobile Developer,https://www.dewii.in/android-developer
"React, JavaScript, UI",1.0,Frontend,Graduate,Remote,8.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Linux Admin, Bash Scripting",5.0,DevOps,Graduate,Onsite,7.0,System Administrator,https://zelis.wd1.myworkdayjobs.com/en-US/ZelisCareers/job/India-Hyderabad/Salesforce-Administrator_JR108049
"Python, SQL, Pandas",3.0,Data,Graduate,Remote,6.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Project Management, JIRA",7.0,Management,Post Graduate,Onsite,9.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Python, ML, TensorFlow",3.0,AI,Post Graduate,Remote,6.0,AI/ML Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Docker, Kubernetes",3.0,DevOps,Graduate,Remote,7.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
"Salesforce, CRM",5.0,Sales,Graduate,Hybrid,7.0,Salesforce Admin,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Node.js, Express, MongoDB",3.0,Backend,Graduate,Hybrid,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Flutter, Dart",2.0,Mobile,Graduate,Remote,8.0,Mobile Developer,https://www.dewii.in/android-developer
"Unity, C#",3.0,Game Dev,Graduate,Onsite,8.0,Game Developer,https://www.desirousgc.com/job/171
"HTML, CSS, JavaScript",2.0,Web,Graduate,Remote,8.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Scala, Spark",4.0,Data,Post Graduate,Hybrid,7.0,Big Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SwiftUI, iOS Dev",5.0,Mobile,Graduate,Remote,8.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"Excel, VBA",5.0,Data,Graduate,Hybrid,9.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Swift, iOS Development",3.0,Mobile,Post Graduate,Onsite,6.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"SQL Server, SSIS",2.0,Data,Graduate,Hybrid,6.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Salesforce, CRM",5.0,Sales,Graduate,Hybrid,7.0,Salesforce Admin,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Photoshop, Illustrator",3.0,Design,Graduate,Remote,8.0,Graphic Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"PHP, WordPress",3.0,Web,Graduate,Remote,7.0,Web Developer,https://5d.solutions/careers/jobopenings/1204_full_stack_web_developer/
